company_name_kr,ticker,industry,aliases
강남제비스코,000860,화학,"강남제비스코보통주, KANGNAM JEVISCO"
강동씨앤엘,198440,비금속,"강동씨앤엘, KANGDONG C&L"
강스템바이오텍,217730,제약,"강스템바이오텍, KANGSTEM BIOTECH CO., LTD."
강원랜드,035250,오락·문화,"강원랜드보통주, Kangwon Land, Inc."
강원에너지,114190,전기·전자,"강원에너지, KANGWON ENERGY"
갤럭시아머니트리,094480,IT 서비스,"갤럭시아머니트리, GalaxiaMoneytree Co.,Ltd."
갤럭시아에스엠,011420,오락·문화,"갤럭시아에스엠보통주, GALAXIA SM"
경남스틸,039240,금속,"경남스틸, Kyeong Nam Steel Co., LTD"
경남제약,053950,제약,"경남제약, KYUNG NAM PHARM.CO.,LTD."
경농,002100,화학,"경농보통주, Kyungnong"
경동나비엔,009450,전기·전자,"경동나비엔보통주, KYUNGDONGNAVIEN"
경동도시가스,267290,전기·가스,"경동도시가스보통주, KYUNGDONG CITY GAS"
경동인베스트,012320,기타금융,"경동인베스트보통주, KYUNGDONG INVEST"
경동제약,011040,제약,"경동제약, KyungdongPharm"
경방,000050,유통,"경방보통주, Kyungbang"
경보제약,214390,제약,"경보제약보통주, KYONGBO PHARMACEUTICAL CO., LTD."
경인양행,012610,화학,"경인양행보통주, KyunginSynthetic"
경인전자,009140,전기·전자,"경인전자보통주, KyunginElectronics"
경창산업,024910,운송장비·부품,"경창산업, KyungchangIndustrial"
계룡건설,013580,건설,"계룡건설산업보통주, KyeryongConstructionIndustrial"
계양전기우,012205,기계·장비,"계양전기1우선주, KeyangElectricMachinery(1P)"
계양전기,012200,기계·장비,"계양전기보통주, KeyangElectricMachinery"
고려산업,002140,음식료·담배,"고려산업보통주, KoreaIndustrial"
고려신용정보,049720,일반서비스,"고려신용정보, KORYO CREDIT INFORMATION CO., LTD."
고려아연,010130,금속,"고려아연보통주, KoreaZinc"
고려제강,002240,금속,"고려제강보통주, KISWire"
고려제약,014570,제약,"고려제약, KOREAN DRUG CO., LTD."
고바이오랩,348150,일반서비스,"고바이오랩, KoBioLabs, Inc"
고스트스튜디오,950190,IT 서비스,"고스트스튜디오, GHOST STUDIO"
고영,098460,기계·장비,"고영테크놀러지, Koh Young Technology Inc."
골드앤에스,035290,오락·문화,"골드앤에스, Gold&S"
골프존,215000,IT 서비스,"골프존, GOLFZON Co., Ltd."
골프존홀딩스,121440,유통,"골프존홀딩스, GOLFZON HOLDINGS"
공구우먼,366030,섬유·의류,"공구우먼, 09women Co., Ltd."
광동제약,009290,제약,"광동제약보통주, KwangdongPharmaceutical"
광림,014200,운송장비·부품,"광림, KANGLIM Co., LTD."
광명전기,017040,전기·전자,"광명전기보통주, KWANG MYUNG ELECTRIC"
광무,029480,전기·전자,"광무, Kwangmu"
광전자,017900,전기·전자,"광전자보통주, AUK"
광주신세계,037710,유통,"광주신세계보통주, GwangjuShinsegae"
광진실업,026910,금속,"광진실업, KwangjinInd"
교보14호스팩,456490,금융,"교보14호기업인수목적, Kyobo 14 Special Purpose Acquisition Company"
교보15호스팩,465320,금융,"교보15호기업인수목적, Kyobo 15 Special Purpose Acquisition Company"
교보16호스팩,482520,금융,"교보16호기업인수목적, Kyobo 16 Special Purpose Acquisition Company"
교보17호스팩,489210,금융,"교보17호기업인수목적, Kyobo 17 Special Purpose Acquisition Company"
교보18호스팩,0041B0,금융,"교보18호기업인수목적, Kyobo 18 Special Purpose Acquisition Company"
교보증권,030610,증권,"교보증권보통주, KYOBOSECURITIESCO.,LTD."
교촌에프앤비,339770,유통,"교촌에프앤비보통주, KYOCHON FOOD&BEVERAGE"
구영테크,053270,운송장비·부품,"구영테크, GUYOUNG TECHNOLOGY"
국도화학,007690,화학,"국도화학보통주, KukdoChemical"
국보디자인,066620,건설,"국보디자인, KUKBO DESIGN"
국보,001140,운송·창고,"국보보통주, KUKBO"
국순당,043650,음식료·담배,"국순당, KOOK SOON DANG CO., LTD."
국영지앤엠,006050,비금속,"국영지앤엠, KUK YOUNG G&M"
국일신동,060480,금속,"국일신동, KUKIL METAL CO., LTD"
국일제지,078130,종이·목재,"국일제지, KUK-IL PAPER MFG CO.,LTD"
국전약품,307750,제약,"국전약품, KUKJEON PHARMACEUTICAL Co.,Ltd"
국제약품,002720,제약,"국제약품보통주, Kukje Pharma"
그래디언트,035080,유통,"그래디언트, Gradiant"
그래피,318060,화학,"그래피, Graphy Inc."
GKL,114090,오락·문화,"그랜드코리아레저보통주, Grand Korea Leisure"
GRT,900290,금융,"그레이트리치과기유한공사, Great Rich Technologies Limited"
그리드위즈,453450,일반서비스,"그리드위즈, Gridwiz Co.,Ltd"
그리티,204020,섬유·의류,"그리티, GRITEE, Inc."
그린광학,0015G0,의료·정밀기기,"그린광학, Green Optics Co.,Ltd."
그린리소스,402490,전기·전자,"그린리소스, Green Resource Co.,Ltd"
